Participant,Narrative,RE,Discourse,Order,Time,X_LEFT_WRIST,Y_LEFT_WRIST,Z_LEFT_WRIST,visibility_LEFT_WRIST,X_RIGHT_WRIST,Y_RIGHT_WRIST,Z_RIGHT_WRIST,visibility_RIGHT_WRIST,X_LEFT_SHOULDER,Y_LEFT_SHOULDER,Z_LEFT_SHOULDER,visibility_LEFT_SHOULDER,X_RIGHT_SHOULDER,Y_RIGHT_SHOULDER,Z_RIGHT_SHOULDER,visibility_RIGHT_SHOULDER,X_LEFT_ELBOW,Y_LEFT_ELBOW,Z_LEFT_ELBOW,visibility_LEFT_ELBOW,X_RIGHT_ELBOW,Y_RIGHT_ELBOW,Z_RIGHT_ELBOW,visibility_RIGHT_ELBOW,X_LEFT_PINKY,Y_LEFT_PINKY,Z_LEFT_PINKY,visibility_LEFT_PINKY,X_LEFT_THUMB,Y_LEFT_THUMB,Z_LEFT_THUMB,visibility_LEFT_THUMB,X_RIGHT_PINKY,Y_RIGHT_PINKY,Z_RIGHT_PINKY,visibility_RIGHT_PINKY,X_RIGHT_THUMB,Y_RIGHT_THUMB,Z_RIGHT_THUMB,visibility_RIGHT_THUMB
3,10,KEDİ,Maintenance,Order4,220.0,0.55812794,0.54238528,-0.0690512583,0.999829173,0.399881959,0.55518961,-0.0831060633,0.999510705,0.600837827,0.782551408,-0.280373156,0.986792684,0.386818886,0.818668365,-0.317220718,0.987691045,0.535440087,0.640305102,-0.599808276,0.986585498,0.441723228,0.62004143,-0.60852468,0.996316254,0.516774595,0.607130885,-0.652455,0.958930612,0.456488132,0.588935137,-0.66057688,0.98499,0.517839551,0.589943111,-0.58749336,0.951634228,0.454321921,0.573406518,-0.598222554,0.978763103
3,10,KEDİ,Maintenance,Order4,240.0,0.558370352,0.542647123,-0.0966613144,0.999849498,0.400133729,0.556082189,-0.115814909,0.999582,0.601278722,0.78164,-0.305764616,0.987692893,0.385571867,0.823563695,-0.333635241,0.988629222,0.536329687,0.636580706,-0.627957165,0.987486064,0.441444844,0.618911624,-0.653159857,0.996550202,0.518111289,0.60096848,-0.680860281,0.96121031,0.457043767,0.584557354,-0.709670663,0.985788167,0.518088818,0.58395493,-0.615749896,0.953522742,0.454249978,0.569702744,-0.640991569,0.979625046
3,10,KEDİ,Maintenance,Order4,260.0,0.558478594,0.54323858,-0.0545471944,0.999867857,0.399958968,0.55635488,-0.0417655483,0.99964422,0.601430237,0.782115638,-0.265659839,0.988404334,0.384455293,0.825186551,-0.278661728,0.989504457,0.537448466,0.637707055,-0.602007091,0.9881109,0.439116657,0.618596911,-0.600574672,0.996741772,0.518446386,0.603072822,-0.658060908,0.96300441,0.458168328,0.586986065,-0.653490901,0.986498773,0.51807,0.584997416,-0.590496659,0.95488447,0.453933984,0.571908176,-0.590995848,0.980466247
3,10,KEDİ,Maintenance,Order4,280.0,0.55843544,0.545639813,-0.0346835069,0.999879599,0.399673283,0.557474732,-0.0135967201,0.999693036,0.601811,0.782459855,-0.250901371,0.988707602,0.382033408,0.825140238,-0.260628492,0.990153849,0.537026405,0.639341652,-0.564598501,0.988353372,0.438285947,0.613692164,-0.572205722,0.996916831,0.51688081,0.606006205,-0.616468132,0.963630378,0.459455907,0.586875,-0.624009,0.987123907,0.517229557,0.589288354,-0.55162251,0.955001831,0.455148399,0.573351443,-0.561267078,0.981191874
3,10,KEDİ,Maintenance,Order4,300.0,0.558515251,0.547281325,-0.0413951688,0.999895573,0.40027684,0.557796597,-0.0261177924,0.99973923,0.602837265,0.782761633,-0.260576814,0.989768267,0.378445804,0.82161504,-0.277554631,0.990863144,0.540867,0.639473557,-0.597888768,0.989372849,0.432682902,0.625098765,-0.607132256,0.997062922,0.519228637,0.609265506,-0.654910386,0.966460407,0.451518387,0.601692677,-0.663838923,0.987669408,0.518619716,0.593367755,-0.585221887,0.958016336,0.448371679,0.584744096,-0.597079396,0.9819085
3,10,KEDİ,Maintenance,Order4,320.0,0.558884501,0.549795806,-0.0514374636,0.999909401,0.400146663,0.557794273,-0.0511951521,0.999780476,0.604019046,0.785612524,-0.271888793,0.990706682,0.373695433,0.82125026,-0.297560066,0.991809249,0.54538089,0.640631,-0.623535216,0.990304291,0.432403177,0.627510846,-0.620904088,0.997298539,0.522150636,0.610231936,-0.679801881,0.969214857,0.452317595,0.602448046,-0.674700797,0.988580287,0.522156179,0.594379723,-0.611183524,0.960808218,0.448970914,0.585474551,-0.609257579,0.983036578
3,10,KEDİ,Maintenance,Order4,340.0,0.559136212,0.55267477,-0.0326453075,0.999920368,0.400774807,0.558696508,-0.0203461666,0.999814034,0.604343474,0.788718164,-0.271407247,0.991420805,0.370743394,0.820267916,-0.284340471,0.992591798,0.546961367,0.637885928,-0.620040059,0.991082966,0.429270774,0.629048347,-0.611189961,0.997476578,0.523238301,0.608776093,-0.67902869,0.971408904,0.450136513,0.605825245,-0.666007221,0.98917222,0.523871362,0.593636692,-0.606943429,0.963042438,0.447166264,0.589337468,-0.59828949,0.983772397
3,10,KEDİ,Maintenance,Order4,360.0,0.559225917,0.556043625,-0.014608101,0.999928,0.400770932,0.559677,-0.0142868664,0.999842644,0.605299,0.793568611,-0.260484695,0.991470754,0.36701,0.819285214,-0.278896868,0.993309,0.549194038,0.630645752,-0.616858065,0.991708636,0.425210118,0.620532751,-0.604670167,0.997751176,0.526969194,0.604233742,-0.676051,0.973277748,0.446406662,0.601221919,-0.66031611,0.990230918,0.526573062,0.590105951,-0.604663968,0.965113282,0.444228321,0.585750639,-0.592268,0.98524183
3,10,KEDİ,Maintenance,Order4,380.0,0.559016,0.556533158,0.00730137,0.999936223,0.40057081,0.561339855,-0.00778710516,0.999867618,0.610348701,0.789971471,-0.24006328,0.991422534,0.363596082,0.818146288,-0.269812852,0.994000196,0.555573046,0.615987897,-0.600642443,0.992288113,0.421114624,0.611831903,-0.589282095,0.998022497,0.532438,0.588523388,-0.66095829,0.975008547,0.443674028,0.591156363,-0.644397,0.991321087,0.531186938,0.580187321,-0.588964701,0.967213213,0.442106396,0.577991724,-0.577674508,0.986812353
3,10,KEDİ,Maintenance,Order4,400.0,0.558786809,0.556922,0.00202436908,0.999943912,0.400422633,0.561158061,-0.0121442638,0.999888122,0.613614917,0.789556503,-0.241848782,0.991832256,0.361272156,0.817916095,-0.269597113,0.994651675,0.558332086,0.617202282,-0.60036087,0.992926717,0.418108642,0.606284738,-0.591246605,0.998282731,0.5362342,0.585022092,-0.660700798,0.976776659,0.442631394,0.580755472,-0.646738708,0.992376924,0.534110248,0.575977206,-0.588782251,0.969372869,0.441639334,0.564765096,-0.579375386,0.988336205
21,10,KEDİ,Maintenance,Order8,20.0,0.475463271,0.439187646,0.0418869108,0.999990523,0.309479773,0.474200904,-0.117116362,0.999974,0.546503186,0.669917047,-0.124129161,0.997697532,0.29060778,0.733503401,-0.378986478,0.999497592,0.48591879,0.579194784,-0.544027209,0.99729538,0.360911936,0.545702279,-0.737145305,0.999536812,0.467539966,0.571835876,-0.614968896,0.990693808,0.386008471,0.511566103,-0.798806846,0.997881114,0.461725771,0.544810116,-0.542478621,0.989902914,0.379284292,0.490373462,-0.730067194,0.997116685
21,10,KEDİ,Maintenance,Order8,40.0,0.47367996,0.440071076,0.0229107626,0.999990523,0.308019459,0.475557804,-0.132577106,0.999973357,0.547132134,0.670334339,-0.135684162,0.997725427,0.291933268,0.73556757,-0.396205544,0.999518335,0.49052307,0.576538622,-0.548580468,0.997234881,0.359955519,0.546890497,-0.753616,0.999503851,0.4724392,0.576672912,-0.617888391,0.990397215,0.384444237,0.514831722,-0.81482631,0.99774009,0.464357644,0.548440516,-0.547132194,0.989472926,0.378176093,0.491704255,-0.746275187,0.996920824
21,10,KEDİ,Maintenance,Order8,60.0,0.473500639,0.440173656,0.00652469,0.99998945,0.307434916,0.475739092,-0.154332221,0.999972284,0.547346413,0.671040893,-0.14997305,0.997317493,0.292431533,0.73819536,-0.421248376,0.999511,0.492088974,0.579124928,-0.576557755,0.996522,0.360509902,0.548827052,-0.792045295,0.999432743,0.47478646,0.579877,-0.647336662,0.988075197,0.386177391,0.516780317,-0.856245041,0.997430384,0.467296571,0.55138,-0.576665342,0.986808658,0.379687667,0.492810965,-0.784427404,0.996465564
21,10,KEDİ,Maintenance,Order8,80.0,0.474316746,0.43995592,-0.00757315662,0.999988258,0.307442546,0.475740731,-0.161195,0.999971688,0.547639251,0.67110604,-0.166058689,0.996872425,0.291955262,0.738042414,-0.427207291,0.999490678,0.492043525,0.578658581,-0.588360906,0.995712698,0.361441135,0.554276347,-0.789209545,0.999298692,0.474764794,0.582504809,-0.659384608,0.98520869,0.389697045,0.524095416,-0.852417707,0.996832848,0.467403233,0.553974092,-0.5878824,0.983560562,0.381265968,0.498815298,-0.781683803,0.995634258
21,10,KEDİ,Maintenance,Order8,100.0,0.474922478,0.439736128,-0.0167691298,0.99998641,0.307429016,0.475578874,-0.17109111,0.999970317,0.548094571,0.671965301,-0.164885178,0.996406853,0.291981727,0.736950815,-0.437841684,0.999466658,0.492882073,0.579567492,-0.639259219,0.995053113,0.362819731,0.559557796,-0.805035472,0.999150336,0.477381557,0.584913,-0.705760896,0.982871771,0.394509584,0.53253448,-0.869174123,0.99619323,0.468518734,0.556228578,-0.62274158,0.980917215,0.384961605,0.507306218,-0.79735446,0.994739115
21,10,KEDİ,Maintenance,Order8,120.0,0.47558105,0.439743191,-0.0505807064,0.99998492,0.307379425,0.475481033,-0.189580917,0.99996829,0.547664225,0.674115717,-0.184391096,0.996009231,0.292063922,0.736755073,-0.464901954,0.999451697,0.494303137,0.583167136,-0.608998716,0.994787633,0.363018632,0.56123203,-0.848791838,0.999093235,0.479089051,0.587184787,-0.67844063,0.982020795,0.395909488,0.533768952,-0.915661931,0.995934546,0.471391469,0.55824542,-0.605073094,0.979900897,0.385107726,0.509081304,-0.841513693,0.994365633
21,10,KEDİ,Maintenance,Order8,140.0,0.475490063,0.439650863,-0.0364159234,0.999983728,0.30720374,0.475235224,-0.194772795,0.999968052,0.546981931,0.674515307,-0.173072159,0.99553138,0.291544318,0.736360252,-0.46586591,0.999451876,0.494185776,0.584137619,-0.651995361,0.994392216,0.364451975,0.565210879,-0.848572612,0.999060929,0.479036778,0.585893333,-0.721678495,0.980858266,0.399081141,0.537268937,-0.915485322,0.995772958,0.471498132,0.558422208,-0.635235667,0.978547871,0.3889364,0.513017118,-0.840674,0.994110763
21,10,KEDİ,Maintenance,Order8,160.0,0.475446075,0.439621508,-0.0201124754,0.999982834,0.307110786,0.474914104,-0.184059486,0.999969065,0.545967162,0.674428105,-0.163382009,0.994952202,0.290740669,0.735713422,-0.452693492,0.999463797,0.494701385,0.584649265,-0.602168918,0.993843675,0.366259128,0.568872929,-0.823064,0.999057055,0.480393,0.581980586,-0.671106458,0.97946614,0.40218395,0.540183485,-0.886551678,0.995724201,0.473632246,0.556638598,-0.604660332,0.977052569,0.392479956,0.516515851,-0.813997388,0.994031847
21,10,KEDİ,Maintenance,Order8,180.0,0.474681765,0.43946439,0.00424372638,0.999980867,0.307099,0.474265546,-0.174439177,0.999969363,0.545677364,0.674284756,-0.142187178,0.994282663,0.29055202,0.734860599,-0.425836384,0.99946028,0.493962109,0.579708219,-0.55750525,0.992767394,0.368141234,0.570520341,-0.771144092,0.998978853,0.479849,0.578942835,-0.624459267,0.976473153,0.404110044,0.542425454,-0.829806149,0.99537164,0.471793175,0.555210531,-0.557893,0.973970532,0.395757109,0.520150363,-0.760646284,0.993553221
21,10,KEDİ,Maintenance,Order8,200.0,0.474222034,0.439855516,0.00534745445,0.999975145,0.307129532,0.474108666,-0.158273563,0.999967754,0.544252157,0.673847795,-0.147726625,0.993227,0.290582091,0.733483911,-0.408767551,0.999428153,0.493489265,0.574007869,-0.549035907,0.991304517,0.370289654,0.571819305,-0.750896752,0.998835623,0.484882206,0.562989354,-0.61157167,0.972710848,0.407867044,0.542255938,-0.807876825,0.994779587,0.471357524,0.54922682,-0.54807353,0.97023046,0.401230842,0.521101773,-0.739924669,0.992757857
21,10,KEDİ,Maintenance,Order8,220.0,0.473928124,0.440276831,-0.00153400539,0.999970257,0.307045907,0.474389136,-0.154413685,0.999965966,0.543279052,0.673083663,-0.153049156,0.99233824,0.290373653,0.732490718,-0.396460205,0.999396801,0.493480712,0.574395418,-0.560205162,0.990219891,0.371189862,0.577788591,-0.734501779,0.99868232,0.489212543,0.568385303,-0.624841273,0.970100939,0.408882529,0.548416078,-0.792134047,0.994183958,0.471589684,0.55180949,-0.560250282,0.967584252,0.402592182,0.528649747,-0.725081,0.991962194
21,10,KEDİ,Maintenance,Order8,240.0,0.4734146,0.442034274,-0.0010347591,0.999966,0.307091922,0.474724054,-0.129739836,0.999964118,0.543590367,0.672567844,-0.170194462,0.992065609,0.2906591,0.731783271,-0.368151963,0.999331772,0.490346432,0.571998835,-0.582627058,0.989223838,0.372623086,0.581747532,-0.718180358,0.998316586,0.483792096,0.551367104,-0.649699092,0.966999888,0.409823596,0.55075556,-0.774768,0.992750287,0.465824664,0.546184123,-0.58096683,0.96424073,0.404921472,0.533158243,-0.707838058,0.990084767
21,10,KEDİ,Maintenance,Order8,260.0,0.472841233,0.442431271,0.00538317533,0.999959588,0.307223886,0.47493276,-0.114376985,0.99996233,0.544207633,0.672248721,-0.182589859,0.991750419,0.290576309,0.730791569,-0.365273505,0.999266684,0.48915565,0.562223911,-0.591697037,0.988289595,0.373683274,0.588502884,-0.670178473,0.997930467,0.479053646,0.533836305,-0.65784663,0.963995516,0.411613137,0.55872184,-0.726819694,0.991214097,0.463626951,0.53779465,-0.588351548,0.960878313,0.407213539,0.539702594,-0.660436451,0.98808527
21,10,KEDİ,Maintenance,Order8,280.0,0.472092807,0.443170726,0.0141818179,0.999937654,0.307421088,0.475876868,-0.109815367,0.999955714,0.543757677,0.668842375,-0.159992,0.990433395,0.290213317,0.730094135,-0.351469338,0.999131858,0.487365931,0.560670078,-0.52217418,0.98519969,0.376671821,0.59702915,-0.663473785,0.997065723,0.474820435,0.532938838,-0.56938529,0.955760658,0.414631516,0.573738813,-0.718951643,0.988005817,0.460651487,0.543844581,-0.512795627,0.952044368,0.410153478,0.555011272,-0.651459455,0.983956277
21,10,KEDİ,Maintenance,Order8,300.0,0.472113878,0.444047451,0.0153053589,0.99990052,0.307896256,0.475781918,-0.0962169692,0.999946356,0.544133961,0.667491317,-0.168309882,0.989207566,0.289284021,0.729290843,-0.340166241,0.998936057,0.482661396,0.559672058,-0.519169629,0.981050313,0.378048688,0.601024,-0.656198561,0.995518327,0.456788868,0.53767705,-0.583530784,0.944822371,0.417287141,0.582820117,-0.709031343,0.982616484,0.452014983,0.520822704,-0.518526614,0.940485239,0.412288845,0.565200567,-0.643931746,0.977425933
21,10,KEDİ,Maintenance,Order8,320.0,0.472824872,0.444636494,0.010533357,0.999860525,0.308374375,0.475550562,-0.106637552,0.999938607,0.545333564,0.666545153,-0.177004531,0.98888135,0.288666308,0.728171527,-0.3452411,0.998718858,0.479524553,0.563275218,-0.532215297,0.97797668,0.377892315,0.606141388,-0.650386095,0.993762851,0.447045267,0.543967366,-0.591927946,0.935796201,0.416149437,0.591905296,-0.709050298,0.976579845,0.442477643,0.543735921,-0.521139801,0.930994213,0.412038743,0.570644915,-0.642651618,0.970536172
21,10,KEDİ,Maintenance,Order8,340.0,0.47323826,0.444729865,0.0122670047,0.999836504,0.308868408,0.475255489,-0.113643065,0.999933958,0.546440244,0.666301,-0.161998585,0.988635063,0.288114,0.728334308,-0.34907341,0.99859637,0.480121136,0.571110845,-0.528022051,0.975341856,0.376742,0.608708203,-0.663446128,0.992826,0.447403312,0.574860215,-0.591391563,0.928539932,0.415260315,0.597164273,-0.7231251,0.973298669,0.444722533,0.555843294,-0.520076513,0.923326612,0.411228776,0.574234128,-0.655665755,0.966623783
21,10,KEDİ,Maintenance,Order8,360.0,0.473524719,0.444868475,0.0123695619,0.999817,0.309065491,0.47541669,-0.129893616,0.999930918,0.546308458,0.665594578,-0.166948527,0.988224208,0.287643313,0.728473425,-0.371358246,0.998512745,0.478732497,0.566641152,-0.545512855,0.973198414,0.37550649,0.609291613,-0.687456846,0.992127895,0.450451,0.578021,-0.608036458,0.922738314,0.412468761,0.597102,-0.744494259,0.970867038,0.446632951,0.557017207,-0.539232254,0.917247176,0.408335865,0.574902356,-0.678503215,0.963719
21,10,KEDİ,Maintenance,Order8,380.0,0.473131865,0.445067316,0.00996576902,0.99980706,0.309015483,0.475625038,-0.13116838,0.999928,0.547050893,0.665857196,-0.182824,0.988328099,0.287601471,0.729151428,-0.378850907,0.998390615,0.476086766,0.559774101,-0.574890137,0.972604752,0.37413317,0.604833066,-0.712958395,0.991342902,0.448395222,0.561238885,-0.639551699,0.920272,0.409117401,0.585711241,-0.772307158,0.968215048,0.444172651,0.548340738,-0.568384826,0.914350927,0.40323922,0.567214489,-0.70422864,0.960599899
21,10,KEDİ,Maintenance,Order8,400.0,0.473521352,0.445218503,0.00981190335,0.999802649,0.308813661,0.476285696,-0.124685906,0.999925613,0.548208475,0.668828189,-0.193202838,0.988596201,0.288006932,0.731213689,-0.378684789,0.998308599,0.474169254,0.560422599,-0.587198198,0.972711623,0.373350412,0.59713906,-0.709821,0.991270542,0.448179275,0.563100278,-0.652117968,0.919832468,0.408973753,0.576619685,-0.767801344,0.967667162,0.443108648,0.544196784,-0.57943213,0.913376927,0.402893573,0.559350193,-0.69989264,0.959864914
21,10,KEDİ,Maintenance,Order8,420.0,0.473520786,0.445901275,-0.00356658408,0.999803782,0.308425277,0.477080405,-0.138361454,0.9999246,0.547499895,0.672931552,-0.20295766,0.988811135,0.288965195,0.732882679,-0.391967386,0.998252273,0.475685894,0.564844251,-0.599749804,0.972906,0.37175855,0.593499422,-0.726605654,0.991382658,0.450094819,0.564727187,-0.664209664,0.91990906,0.406879514,0.567837894,-0.785050392,0.967883766,0.446391404,0.542363167,-0.592647493,0.913184047,0.400704682,0.551547945,-0.715923965,0.95992738
21,10,KEDİ,Maintenance,Order8,440.0,0.473108768,0.447008789,-0.00608627265,0.999816716,0.308302462,0.477473348,-0.143092245,0.999925375,0.546846032,0.674162,-0.196536213,0.989130855,0.289246202,0.733436167,-0.398447484,0.998235881,0.47691229,0.566507578,-0.591959536,0.973783255,0.371419907,0.588606775,-0.731449306,0.99161315,0.453942984,0.56723243,-0.655976713,0.921818793,0.406898916,0.562927127,-0.788774133,0.968514204,0.448943079,0.544393063,-0.585225,0.915001929,0.400400847,0.545519173,-0.720437706,0.960573494
21,10,KEDİ,Maintenance,Order8,460.0,0.473003894,0.447684914,-0.0196351409,0.999824107,0.308237612,0.477548897,-0.161545038,0.999924362,0.54542917,0.674323082,-0.203613773,0.988865852,0.289272904,0.733231,-0.423460633,0.998224497,0.481518686,0.571005166,-0.606268,0.973787367,0.371303439,0.582829893,-0.771010816,0.991948724,0.460933477,0.569507897,-0.669340193,0.921922505,0.406971604,0.556938052,-0.830505073,0.969508171,0.454987347,0.547306597,-0.600351155,0.915205061,0.400516361,0.538308203,-0.759073913,0.961564958
21,10,KEDİ,Maintenance,Order8,480.0,0.473080367,0.447951406,-0.0142103676,0.999830961,0.308173388,0.477577269,-0.156179324,0.999924421,0.544156075,0.674460113,-0.19347325,0.988430679,0.288701832,0.732546508,-0.413451821,0.998246,0.485294253,0.570742726,-0.596719921,0.973867059,0.370915234,0.578650594,-0.757290781,0.992427766,0.468211681,0.566047609,-0.659756,0.922695935,0.406273305,0.553767741,-0.815538526,0.971127272,0.459443957,0.548449457,-0.591533482,0.915953934,0.399883121,0.534033477,-0.745590806,0.963308573
21,10,KEDİ,Maintenance,Order8,500.0,0.473117679,0.448042929,-0.0181456394,0.999837,0.308040202,0.477815598,-0.139988422,0.999921918,0.543614805,0.67326206,-0.208664373,0.988449693,0.288781345,0.732948542,-0.397267252,0.998238087,0.482286572,0.566459954,-0.608252704,0.974048495,0.370432377,0.576807857,-0.74403584,0.992713451,0.460744053,0.563388288,-0.672393918,0.923072219,0.40543887,0.549737334,-0.802762866,0.972056091,0.455458552,0.54658407,-0.60223794,0.916374087,0.398756772,0.53202939,-0.732804954,0.964271724
21,10,KEDİ,Maintenance,Order8,520.0,0.473089039,0.447877,-0.0138578406,0.999838829,0.307840198,0.478121787,-0.138528079,0.999920845,0.543684125,0.671178,-0.206727043,0.988490045,0.288732201,0.733029842,-0.39047268,0.99825114,0.479172409,0.567009509,-0.602749884,0.97381407,0.370451,0.577665687,-0.724447072,0.992983639,0.456685811,0.569013298,-0.66735822,0.922501385,0.405459285,0.549293041,-0.783117652,0.972891212,0.451022029,0.551868141,-0.596683383,0.915811121,0.398723066,0.531029284,-0.713602126,0.96518147
