,Participant,Narrative,RE,Discourse,Order,Accessibility,Right_Hand_Movement_Amplitude,Left_Hand_Movement_Amplitude,Left_S_to_W_Distance_Change,Right_S_to_W_Distance_Change,Duration
439,19.0,7,KEDİ,Introduction,4,-1.0,0.8620050217144953,0.9118736836160508,0.07571920570434579,0.13422208366256183,0.38
440,19.0,8,FARE,Introduction,2,0.0,0.36664075766456106,0.3864900490282374,0.09417555307440183,0.14254609864077505,0.52
441,19.0,8,FARE,Re-introduction,10,1.0,0.18589172498451978,0.1949789918269358,0.0685352609094991,0.08358876637893563,0.3
442,19.0,8,KEDİ,Introduction,1,1.0,0.2665356948493039,0.2934216287399986,0.05343203848299116,0.07552104321619252,0.4
443,19.0,9,FARE,Introduction,1,1.0,0.4090212044617081,0.426501087983342,0.1198976359858433,0.09503547647246753,0.54
444,19.0,9,FARE,Re-introduction,11,1.0,0.17105081259914298,0.17369082154077436,0.027060804264718498,0.040072042390728396,0.24
445,19.0,9,KEDİ,Introduction,2,0.0,0.2324761461201486,0.262402388174095,0.0776940677643285,0.1076909455853149,0.36
446,19.0,9,KEDİ,Re-introduction,9,0.0,0.293344638640781,0.3327041650534331,0.1274749364078671,0.0646920980583511,0.52
447,19.0,10,FARE,Introduction,1,1.0,0.3429577886531055,0.3565722733968711,0.105606498212056,0.1255384749114961,0.54
448,19.0,10,FARE,Re-introduction,6,0.0,0.40552123552845887,0.4185879529287256,0.07996158855228307,0.09145704824394811,0.52
449,19.0,10,FARE,Re-introduction,9,1.0,0.2102468784966152,0.221953896177847,0.0447148368378111,0.03983257505039283,0.26
450,19.0,10,KEDİ,Introduction,3,-1.0,0.124837644209975,0.1349338290789322,0.054076613012670346,0.0483617675932509,0.28
451,19.0,10,KEDİ,Re-introduction,7,1.0,0.1905902180643427,0.22151557747339148,0.09140970331086944,0.08343166418077494,0.44
452,19.0,10,KEDİ,Re-introduction,12,1.0,0.3126965592606735,0.34206307548591,0.07351120687175038,0.0537588562763697,0.3
453,20.0,1,FARE,Introduction,3,-2.0,0.4981316492985535,0.5099346114685332,0.06999609463624461,0.0589593212503587,0.46
454,20.0,1,KEDİ,Maintenance,6,5.0,0.1169809799764373,0.1342807398292217,0.023386184012467347,0.0204043166232281,0.28
455,20.0,1,KEDİ,Re-introduction,4,1.0,0.2641235404312315,0.2839206013619652,0.05740466175899109,0.05049591882582163,0.4
456,20.0,2,KEDİ,Introduction,2,0.0,0.0719311554935764,0.0748371143667006,0.02523976822897204,0.0192685971860344,0.26
457,20.0,3,FARE,Introduction,2,-1.0,0.2979470990588487,0.3190582419563025,0.07759870543617485,0.07208478647538244,0.7
458,20.0,3,KEDİ,Introduction,3,-1.0,0.19509601166614982,0.2142211975649453,0.06325712288821657,0.047440902623824825,0.54
459,20.0,4,FARE,Introduction,1,1.0,0.3695827127575469,0.39436784169993927,0.1084209823668609,0.0924072585752694,0.68
460,20.0,4,KEDİ,Introduction,6,-1.0,0.1818213873005545,0.2044454913853455,0.09207316747134071,0.04377710342574397,0.38
461,20.0,5,FARE,Introduction,2,0.0,0.1053693243322472,0.10699193108812488,0.020739936481270052,0.027762707331578686,0.16
462,20.0,5,KEDİ,Introduction,1,1.0,0.2543156622039045,0.2916523735696216,0.08116680817238643,0.05603976473789914,0.38
463,20.0,6,FARE,Introduction,1,1.0,0.5455804676205418,0.5708930497805161,0.16852476147372486,0.12907935528886424,1.6800000000000002
464,20.0,6,KEDİ,Introduction,2,0.0,0.3008723689571435,0.3248160504616209,0.0405815374301961,0.04942653255647561,0.44
465,20.0,8,FARE,Introduction,2,0.0,0.0655607944245074,0.0681598194303233,0.02504030296380449,0.0250095368830972,0.34
466,20.0,8,FARE,Re-introduction,11,1.0,0.1058715938390283,0.11456463938168909,0.011588342155090565,0.0094957918705463,0.12
467,20.0,8,KEDİ,Introduction,1,1.0,0.5008052600887171,0.5489629356752554,0.14963249250057944,0.13273168545511901,0.8400000000000001
468,20.0,9,FARE,Introduction,2,0.0,0.2283230558664188,0.2458706067383339,0.05780064882002347,0.06266514136468264,0.44
469,20.0,9,FARE,Maintenance,5,3.0,0.16911506568666182,0.1821649254171914,0.07731650385996933,0.0512404281436621,0.4
470,20.0,9,KEDİ,Introduction,1,1.0,0.3755604783143173,0.412182493407528,0.1435985727832023,0.057850780793822554,0.64
471,20.0,10,FARE,Introduction,3,-1.0,0.12710128394125467,0.1349756545290424,0.024088970733679684,0.0205841288930636,0.32
472,20.0,10,KEDİ,Introduction,2,0.0,0.37126984905891564,0.4082466870450733,0.10188989928937642,0.10483003438551154,0.88
473,20.0,10,KEDİ,Re-introduction,4,1.0,0.2178625697371571,0.2474675567725719,0.051500587587814194,0.0522083928877551,0.48
474,21.0,1,FARE,Introduction,2,-1.0,0.5014357074809507,0.5269331304754477,0.1309449246121138,0.0990824324924774,0.52
475,21.0,1,FARE,Re-introduction,6,1.0,0.289207290434285,0.2983750942656961,0.0653911689759327,0.0856832827068717,0.32
476,21.0,1,KEDİ,Introduction,4,-2.0,0.3093409990919347,0.3437915784932879,0.09538463870548476,0.0798702367647784,0.58
477,21.0,1,KEDİ,Maintenance,9,5.0,0.1116976010959552,0.1075998921049064,0.044440239969597305,0.02982406496275485,0.28
478,21.0,1,KEDİ,Re-introduction,7,1.0,0.22413457732664396,0.23247618081823634,0.0826941756669594,0.09212801659518102,0.46
479,21.0,2,KEDİ,Introduction,1,0.0,0.47458536641661336,0.5286109558898937,0.2085679746836935,0.1785231296314025,0.48
480,21.0,2,KEDİ,Re-introduction,7,0.0,0.133250690383546,0.1633080069694927,0.0853455407188138,0.042870326513779713,0.32
481,21.0,3,FARE,Introduction,5,-2.0,0.2078198040222932,0.2392240175544865,0.11672143284702888,0.06573014059226577,0.48
482,21.0,3,FARE,Maintenance,11,3.0,0.0977351841719596,0.1032912964650208,0.0370341134420979,0.028021170553762825,0.24
483,21.0,3,FARE,Re-introduction,8,1.0,0.18598840268307829,0.2002453274613454,0.0682198050726929,0.04550304113622225,0.38
484,21.0,3,KEDİ,Introduction,4,-1.0,0.1213571471019381,0.1368889674755281,0.0389936500191291,0.030319970422315,0.24
485,21.0,3,KEDİ,Re-introduction,12,0.0,0.208246426626776,0.2109502749906545,0.023129504585031792,0.038822363790034786,0.26
486,21.0,4,FARE,Introduction,1,1.0,0.4646662144689843,0.5015606675975189,0.17706790672667877,0.10678765153763657,0.64
487,21.0,4,KEDİ,Introduction,9,-1.0,0.4936870401519706,0.5281662350895674,0.10563992688124875,0.07403207461172498,0.52
488,21.0,5,FARE,Introduction,2,0.0,0.171965083670785,0.1891603440745106,0.0421809369844674,0.02770407273494798,0.3
489,21.0,5,FARE,Re-introduction,5,1.0,0.2673104600341248,0.28776416173125957,0.1191835990616138,0.0779357609995391,0.24
490,21.0,5,KEDİ,Introduction,1,1.0,0.6569887729225673,0.7098784209378658,0.2196514665577104,0.1343196416338747,0.58
491,21.0,5,KEDİ,Re-introduction,4,1.0,0.112089246797325,0.1140937332588976,0.03417671305478691,0.0207099835907798,0.22
492,21.0,5,KEDİ,Re-introduction,8,1.0,0.0768562842473106,0.07544738948143834,0.0237197587763332,0.0290172141122174,0.14
493,21.0,6,FARE,Introduction,1,1.0,0.404504827299209,0.4542542275582569,0.15294838996783167,0.0814398879011368,0.52
494,21.0,6,FARE,Re-introduction,9,0.0,0.2933721894829958,0.3286215850362587,0.054914870347906874,0.08141152435703561,0.38
495,21.0,6,KEDİ,Introduction,2,0.0,0.0817163617040768,0.08623522708517836,0.013317336167843509,0.0217194344071996,0.2
496,21.0,6,KEDİ,Maintenance,8,5.0,0.1952778749844759,0.2096176060079017,0.0655738024423038,0.07604885718548188,0.34
497,21.0,6,KEDİ,Re-introduction,4,2.0,0.1667863992842963,0.1684381911993028,0.0433128034419865,0.0410870442617152,0.18
498,21.0,7,KEDİ,Introduction,3,-1.0,0.9875015416143429,1.0767436151793761,0.198867030329093,0.26443191573949687,0.54
499,21.0,7,KEDİ,Re-introduction,6,1.0,0.1870085429333388,0.2011211470535051,0.0588311722271321,0.0487478765840683,0.38
500,21.0,7,KEDİ,Re-introduction,10,1.0,0.2524067985266595,0.287556081590279,0.04548898755356809,0.06063484216500274,0.24
501,21.0,8,FARE,Introduction,3,0.0,0.5611886030122829,0.6031771442706633,0.15273696581063215,0.131548524568537,0.36
502,21.0,8,FARE,Re-introduction,9,1.0,0.2970956459255446,0.3246358803134202,0.0366887625364119,0.0842939138341593,0.38
503,21.0,8,KEDİ,Introduction,1,1.0,0.36357343740614995,0.3957830660075461,0.09879346802567272,0.110243478787077,0.52
504,21.0,9,FARE,Introduction,2,0.0,0.1202909166221551,0.1231753462876786,0.0358383817859456,0.028162369873626723,0.26
505,21.0,9,FARE,Maintenance,3,4.0,0.1517891024597223,0.1596534853436913,0.025076384547573757,0.0470831606716186,0.24
506,21.0,9,FARE,Re-introduction,8,1.0,0.24057391879891243,0.25706634460114863,0.052183089622111815,0.05518959833131598,0.3
507,21.0,9,KEDİ,Introduction,1,1.0,0.5664182394726835,0.600613982604333,0.17467925134587717,0.1415521870664975,1.24
508,21.0,9,KEDİ,Re-introduction,7,0.0,0.18469383412784982,0.1834292147481811,0.084630423261011,0.04267538941378572,0.32
