,Participant,Narrative,Event,Nativeness,Exposure,Right_Hand_Movement_Amplitude,Left_Hand_Movement_Amplitude,Right_S_to_W_Distance,Left_S_to_W_Distance,Left_S_to_W_Distance_Change,Right_S_to_W_Distance_Change,Left_Speed,Right_Speed,Event_Duration
70,16,2,6,Late,4-7,3.333714749143537,3.573919700457972,26.693053264993427,29.19009184194771,0.8328883465323645,0.7595805554298903,0.01636410119257313,0.015264261671902642,2.08
71,16,3,2,Late,4-7,0.6377251627343582,0.692544749709033,14.673514443416044,18.70997987132527,0.35774129296401425,0.1908545584857489,0.01165900252035409,0.01073611385074677,1.08
72,16,3,4,Late,4-7,2.4171860928488633,2.6181188929162538,39.59994663649438,56.646034370505916,1.028771697221712,0.63608407997042,0.003973831116684253,0.0036688514553592125,3.62
73,16,6,8,Late,4-7,5.740531062190842,6.347139118846828,78.74387913716238,108.82045414612912,2.2936905454752714,1.2735698343552178,0.0032497435481930593,0.0029391594280898468,6.24
74,16,9,4,Late,4-7,3.692337183939948,3.9873623021916362,33.50421388790256,38.00721878782042,0.8644187721279332,0.8715684548444849,0.009548281374979971,0.008841803601388766,2.88
75,16,10,5,Late,4-7,6.67698157238874,7.118765409199685,49.48914415536139,62.49202505571348,1.8626405387925942,1.4503370205731265,0.005717883862810991,0.0053630374075411555,4.98
76,18,2,5,Native,0-3,0.8855449351766483,0.9190377487048644,12.208915503924917,11.556323440091969,0.21920629039411627,0.257506211064215,0.02544401297632515,0.024516747928478636,0.84
77,18,2,6,Native,0-3,1.1552397317250318,1.225434121999336,14.530282089791088,15.227669704026995,0.31774174720845205,0.2470400055199709,0.022232113969509,0.020958630836811168,1.04
78,18,2,7,Native,0-3,0.22958132500075878,0.2443115707435595,6.029766380958022,6.297564745648926,0.05560881263588378,0.052929941595842495,0.020359297561963294,0.01913177708339657,0.48
79,18,3,4,Native,0-3,3.0686599193852513,3.279110823812806,55.187188476578946,63.88343725714071,1.1147845979281277,0.9540649880604177,0.0038449308473017282,0.003598166032767285,4.12
80,18,9,4,Native,0-3,2.73789176272372,3.008186236651033,34.48681908153656,38.37260304994847,0.5218355880267158,0.6207191233924678,0.008832020659574377,0.008038437353857076,2.6
81,18,10,5,Native,0-3,3.0544533697324727,3.261589924348525,47.91422000054889,50.58736083006887,0.9404113381952779,0.8953522627529763,0.00484317819605091,0.004535598375107616,3.66
82,19,2,5,Late,8-12,2.908682378791904,3.1221688958172953,42.820267899647966,42.945529150439505,0.9570027055550855,0.9355615972967137,0.006984717887734441,0.006507119415641843,2.98
83,19,2,6,Late,8-12,3.3337783542892154,3.517801506628033,35.68106193244208,35.452362020785486,0.8884402045747326,0.853528023246271,0.011915057264015828,0.011291757059643732,2.42
84,19,2,7,Late,8-12,1.426121452428347,1.5175255729773076,28.279871543566983,28.5232773511395,0.38581464967448287,0.32146548341655073,0.00906310065084393,0.008517208865434465,1.82
85,19,3,2,Late,8-12,3.6395097775032115,3.826947734919096,49.7432920478939,62.61318671044089,1.5058779156739759,1.3246283266279881,0.005560807519498831,0.005288447802242388,3.7
86,19,3,4,Late,8-12,2.981763999183094,3.1733211875865814,53.66799479846004,68.76531628738883,1.2798965826865034,0.9697414679263204,0.004513200005100952,0.004240761177584329,3.74
87,19,6,4,Late,8-12,1.7117567107812397,1.8836477792713384,45.47262473522138,59.80197468923952,0.69351191385595,0.6174243447501485,0.0029559471773136312,0.0026862041158452698,3.56
88,19,6,8,Late,8-12,1.6181131510193425,1.7513389985477452,52.011597810790754,65.89492142650954,0.6621357703275934,0.600746662407819,0.002572472089523715,0.00237678194920585,3.68
89,19,9,4,Late,8-12,1.5545708318278972,1.7354810449576359,21.801878457448655,27.836169229256676,0.7033544692071816,0.4044502947724729,0.008423029727031819,0.007544995301047841,2.02
90,19,10,5,Late,8-12,6.091766033576834,6.516973416421812,90.21832083510017,99.59181462427372,1.8916000840006963,1.5922091440853998,0.0028270750548420143,0.0026426193100715055,6.780000000000001
